Date,Open,High,Low,Close,Volume
20100113,326.9248,328.3516,322.8485,324.4790,41363
20100114,333.0778,334.5414,328.1015,330.3513,18440
20100115,324.7143,324.7143,318.1489,324.7143,47747
20100118,323.6689,324.4216,321.2434,321.2434,3688
20100119,320.7751,320.7751,314.8035,318.6507,19344
20100120,314.4690,319.3114,310.7054,312.3697,20883
20100121,312.7210,312.7210,305.7040,307.8952,34907
20100122,309.5345,309.5345,305.3611,306.8163,20906
20100125,306.9418,308.0792,306.1054,306.5236,19277
20100126,309.4508,309.4508,301.5640,303.0778,17296
20100127,302.7433,307.7781,302.3502,307.6109,49292
20100128,307.6778,307.9119,306.5236,306.8581,20528
20100129,307.3600,307.3600,302.7600,303.4375,21856
20100201,304.4327,305.2691,297.9510,298.9295,15067
20100202,299.4230,306.9083,299.4230,306.9000,22588
20100203,304.4327,309.1999,304.0062,309.1999,39490
20100204,312.1272,313.6410,306.0971,306.8498,33258
20100205,306.6658,313.2981,306.6658,313.2981,12756
20100208,314.6530,315.9409,313.2144,314.6697,10898
20100209,314.3184,314.4522,311.5417,312.9217,19187
20100210,313.6326,315.3053,311.1319,311.7508,23389
20100211,312.7963,316.6100,312.4617,316.6100,15361
20100212,316.6100,316.6100,310.6217,311.8679,28447
20100216,312.8046,312.8046,306.9418,311.1152,16186
20100217,311.1152,312.2443,307.5272,307.5272,27280
20100218,307.5272,313.6242,307.3600,313.6242,11050
20100219,309.4425,317.2707,307.3600,311.1235,74264
20100222,311.4748,313.2981,309.4508,311.7257,63033
20100223,311.5919,311.5919,303.8473,306.8331,44595
20100224,305.8043,309.4090,305.7458,308.6145,55131
20100225,308.4389,308.4389,303.8724,305.4363,40009
20100226,304.9011,305.8545,302.0240,302.0240,24308
20100301,302.1578,304.1484,298.7873,302.4004,25519
20100302,302.3335,306.0385,300.7277,302.7600,18714
20100303,302.8018,305.1436,302.3418,303.8055,29568
20100304,305.2691,311.9599,304.0145,311.1235,29290
20100305,309.7185,311.9599,307.3600,310.4879,44493
20100308,312.1690,318.4416,310.3708,311.8679,45330
20100309,311.0399,314.1846,309.4508,310.7137,20691
20100310,312.3781,312.7963,310.4126,310.8894,29800
20100311,311.9599,316.8693,310.2872,316.8693,16344
20100312,316.9613,317.4380,314.0926,315.5562,36469
20100315,315.5562,319.4871,314.2766,317.8144,14233
20100316,319.0689,320.7416,315.9577,316.9027,25833
